car_id,region,price,year,manufacturer,model,cylinder,fuel,odometer,transmission,drive,types,core_rating,supporting_rating,interior_rating,exterior_rating,wear_rating
25153319,Agra,512000,2021,Tata,Tiago,3,petrol,20979,manual,FWD,hatchback,9.9,9.4,9.3,8.7,9.2
25562924,Agra,745000,2023,Maruti Suzuki,Baleno,4,petrol,20176,manual,FWD,hatchback,9.9,9.9,9.5,9,9.5
23549968,Agra,465000,2019,Hyundai,Grand i10,3,cng,41448,manual,FWD,hatchback,9.5,9.7,7.8,8,7.2
25945923,Agra,546000,2023,Maruti Suzuki,Celerio,3,petrol,8527,manual,FWD,hatchback,9.9,9.9,9.5,9.4,9.5
24176082,Agra,428000,2021,Hyundai,Santro,4,cng,102049,manual,FWD,hatchback,9.2,8.8,7.9,8.1,6.7
26076172,Agra,762000,2022,Hyundai,Venue,3,petrol,41980,manual,FWD,suv,9.7,9.6,9.1,8.5,8.8
24528721,Agra,562000,2020,Hyundai,Grand i10 Nios,4,petrol,54966,automatic,FWD,hatchback,9.7,9.4,8.6,8.4,8
25969608,Agra,398000,2015,Hyundai,Elite i20,4,petrol,43443,manual,FWD,hatchback,9.8,9.5,8.5,8,8.6
23192284,Agra,555000,2019,Toyota,Etios Liva,4,diesel,95153,manual,FWD,hatchback,9.6,9.3,8.2,8,8.7
25578801,Agra,387000,2016,Hyundai,Elite i20,4,petrol,62341,manual,FWD,hatchback,9.4,9.4,8.7,7.9,6.7
25301467,Agra,253000,2013,Hyundai,Grand i10,4,petrol,74307,manual,FWD,hatchback,9.3,9.4,8.2,7,7.5
26472968,Agra,386000,2014,Honda,City,4,petrol,57781,manual,FWD,sedan,9.8,9.6,8.6,8.4,8.5
24439726,Agra,626000,2022,Maruti Suzuki,Baleno,4,petrol,92240,automatic,FWD,hatchback,9.5,9.4,8.7,8.3,8.2
25846991,Agra,299000,2018,Maruti Suzuki,Alto K10,3,petrol,15391,manual,FWD,hatchback,9.9,9.7,8.9,8.4,9.2
25349992,Agra,946000,2024,Hyundai,New i20,4,petrol,7352,automatic,FWD,hatchback,10,8.4,9.8,9.6,9.5
23973304,Agra,582000,2016,Maruti Suzuki,Vitara Brezza,4,diesel,77352,manual,FWD,suv,9.5,9.1,7.8,6.3,7.6
25120516,Agra,265000,2013,Hyundai,i20,4,petrol,69393,manual,FWD,hatchback,9.6,9.3,8.3,7.4,7.9
26203105,Agra,316000,2016,Maruti Suzuki,Celerio,3,cng,97881,manual,FWD,hatchback,8.9,8.3,7.9,6.8,7.9
25960182,Agra,340000,2015,Hyundai,Xcent,4,petrol,67923,manual,FWD,sedan,9.5,9.4,7.3,7.1,7.9
23870533,Agra,483000,2016,Maruti Suzuki,Baleno,4,petrol,38100,manual,FWD,hatchback,9.9,9.7,8.9,8.5,8.5
23482432,Agra,884000,2023,Hyundai,New i20,4,petrol,21606,automatic,FWD,hatchback,9.9,9.8,9,8.8,8.9
26278897,Agra,598000,2023,Tata,Punch,3,cng,24072,manual,FWD,suv,9.9,9.7,8.3,9.2,8.5
27023944,Ahmedabad,703194,2022,Honda,Amaze,4,petrol,55654,automatic,FWD,sedan,9.7,9.1,7.7,8.1,8
25404967,Ahmedabad,419000,2017,Hyundai,Grand i10,4,petrol,72080,manual,FWD,hatchback,9.5,8.7,8.6,8.1,8.7
26804140,Ahmedabad,410448,2016,Hyundai,Grand i10,4,petrol,38540,manual,FWD,hatchback,9.7,9.5,8.6,8.2,8.8
24634183,Ahmedabad,487910,2016,Mahindra,TUV300,3,diesel,53365,manual,RWD,suv,9.2,8.4,8.8,7.9,8.9
26605656,Ahmedabad,587504,2023,Tata,Punch,3,petrol,43719,manual,FWD,suv,9.8,9,8.6,8.5,7.8
25885199,Ahmedabad,438616,2023,Maruti Suzuki,S-Presso,3,petrol,41675,automatic,FWD,hatchback,9.4,8.7,8.5,8,6.4
26760008,Ahmedabad,1106229,2019,MG Motors,Hector,4,diesel,36775,manual,FWD,suv,9.8,9.7,8.5,8.5,7.9
26668133,Ahmedabad,254518,2014,Maruti Suzuki,Wagon R,3,petrol,77405,manual,FWD,hatchback,9.6,8.7,8.6,7.3,7.4
26829779,Ahmedabad,548270,2016,Ford,EcoSport,4,diesel,84862,manual,FWD,suv,9.2,8.5,7.3,7.5,8.4
22513202,Ahmedabad,837000,2023,Nissan,Magnite,3,petrol,19264,automatic,FWD,suv,9.7,9.7,8.8,9.1,9
27068717,Ahmedabad,682068,2022,Tata,Punch,3,petrol,30285,automatic,FWD,suv,9.9,9.8,9.6,9.6,8.8
27075466,Ahmedabad,835986,2023,Hyundai,Venue,4,petrol,18755,manual,FWD,suv,9.6,9.9,9.2,8.7,8.8
26412084,Ahmedabad,445658,2019,Hyundai,Grand i10,4,petrol,67260,manual,FWD,hatchback,9.8,9.6,8.8,8.5,7.9
26337398,Ahmedabad,1078866,2023,Volkswagen,Virtus,3,petrol,59269,manual,FWD,sedan,9.8,9.5,9,8.8,8.2
15546741,Ahmedabad,2123298,2018,Audi,A6,,diesel,44896,automatic,FWD,sedan,9.5,8.9,6.8,8.1,7.5
27244265,Ahmedabad,1972975,2024,Mahindra,Scorpio N,4,diesel,24281,automatic,RWD,suv,9.9,9.8,9.7,9.8,9.1
26881657,Ahmedabad,456724,2022,Maruti Suzuki,Wagon R,4,petrol,49466,manual,FWD,hatchback,9.5,9,8,8.1,8.1
26915907,Ahmedabad,371214,2018,Maruti Suzuki,Celerio,3,petrol,34822,manual,FWD,hatchback,9.7,9.6,9.4,8.7,8.5
27097842,Ahmedabad,1105213,2019,Honda,Civic,4,petrol,45277,automatic,FWD,sedan,9.5,9.5,8.7,8.6,8.5
26088586,Ahmedabad,1051463,2025,Kia,Sonet,,diesel,5002,manual,,suv,10,10,9.9,10,9.8
26138398,Ahmedabad,457730,2022,Tata,Tiago,3,petrol,38094,manual,FWD,hatchback,9.8,9.6,8.8,7.8,8.6
26990568,Ahmedabad,260554,2021,Datsun,Redi-GO,3,petrol,60674,manual,FWD,hatchback,9.4,8.5,8.2,8,6.7
26083092,Ambala,899000,2022,Hyundai,Venue,4,diesel,37915,manual,FWD,suv,9.8,9.7,9.1,9.2,8.7
26012714,Ambala,386000,2019,Maruti Suzuki,Celerio,3,petrol,39518,manual,FWD,hatchback,9.4,9.7,9,8.6,8.3
24947218,Ambala,1202000,2022,Mahindra,Thar,4,petrol,28155,automatic,4WD,suv,9.9,9.8,9.6,9.4,8.1
24551855,Ambala,334000,2018,Maruti Suzuki,Wagon R,3,petrol,33419,manual,FWD,hatchback,9.8,9.5,8.7,8,7.6
24736473,Ambala,274000,2017,Hyundai,Eon,3,petrol,51280,manual,FWD,hatchback,9.6,8.7,8.1,7.8,7.3
25258456,Ambala,956000,2019,Tata,Harrier,4,diesel,76247,manual,FWD,suv,9.7,9.5,8.4,8.4,8.7
24146494,Ambala,512000,2022,Tata,Tiago,3,cng,44365,manual,FWD,hatchback,8.5,9.6,8.4,7.9,7.2
26300531,Ambala,1424000,2022,Mahindra,XUV700,4,diesel,62182,manual,FWD,suv,9.7,9.5,8,8.8,7.7
24685566,Ambala,397000,2022,Maruti Suzuki,S-Presso,3,cng,88384,manual,FWD,hatchback,9.3,8.7,8.3,7.7,7.3
25595746,Ambala,971000,2022,Maruti Suzuki,XL6,4,petrol,47094,manual,FWD,muv,9.6,9.7,9.1,8.7,8.2
24633492,Ambala,437000,2022,Tata,Tiago,3,petrol,33746,manual,FWD,hatchback,9.8,9.8,9.3,8.5,8.2
25568925,Ambala,609000,2023,Hyundai,Grand i10 Nios,4,cng,32569,manual,FWD,hatchback,9.8,8.8,8.9,8.6,8.2
26440103,Ambala,515000,2022,Hyundai,Grand i10 Nios,4,petrol,45111,manual,FWD,hatchback,9.8,8.5,8.8,8.4,8.5
19362772,Ambala,1029000,2022,Maruti Suzuki,New Ertiga,4,petrol,21663,automatic,FWD,muv,9.7,9.3,9.3,9.1,9.1
25985392,Ambala,333000,2018,Ford,Figo,4,petrol,45489,manual,FWD,hatchback,9.7,9.6,9.1,8.5,8.6
25847803,Ambala,288000,2015,Maruti Suzuki,Alto K10,3,petrol,28704,manual,FWD,hatchback,9.8,9.6,9,8.7,8.7
25788690,Ambala,601000,2020,Skoda,Rapid New,3,petrol,60024,automatic,,sedan,9.8,8.4,8.7,8.7,7.9
26574427,Ambala,694000,2022,Honda,Amaze,4,petrol,35944,automatic,FWD,sedan,9.8,9.5,9.4,8.4,7.3
25830644,Ambala,354000,2017,Hyundai,Grand i10,4,petrol,30543,manual,FWD,hatchback,9.6,9.7,8.5,7.8,7.8
26056440,Ambala,234000,2015,Maruti Suzuki,Alto 800,3,petrol,33387,manual,FWD,hatchback,9.6,9.6,9.2,8.4,7.8
24738549,Ambala,641000,2019,Ford,EcoSport,3,petrol,16530,manual,FWD,suv,9.9,9.9,9.6,8.9,9.5
25139258,Ambala,238000,2015,Hyundai,i10,4,petrol,74750,manual,FWD,hatchback,9.6,9.1,8.4,7.2,8.1
23743169,Ambala,495000,2023,Tata,Tiago,3,petrol,22532,manual,FWD,hatchback,9.9,9.7,9.2,8.9,9
21988060,Ambala,395000,2024,Renault,Kwid,3,petrol,26729,manual,FWD,hatchback,9.9,9.8,9.7,9.6,9
26182397,Ambala,474000,2020,Maruti Suzuki,Baleno,4,petrol,53900,manual,FWD,hatchback,9.1,9.6,8.2,7.4,7.7
24826823,Ambala,245000,2014,Maruti Suzuki,Alto K10,3,petrol,39596,manual,FWD,hatchback,9.8,9.6,8.6,8.3,8.3
25455684,Ambala,463000,2022,Maruti Suzuki,Ignis,4,petrol,19150,manual,FWD,hatchback,9.9,8.9,9.3,8.5,8.3
25323394,Ambala,753000,2024,Hyundai,New i20,4,petrol,21505,automatic,FWD,hatchback,9.8,7.9,9.1,8.9,9
25355363,Ambala,508000,2022,Renault,Triber,3,petrol,20368,manual,FWD,muv,9.9,9.9,9.2,9,9.1
24468300,Ambala,1816000,2023,Mahindra,Scorpio N,4,diesel,51499,automatic,RWD,suv,9.6,9.6,9.2,8.9,8
24195825,Ambala,319000,2015,Maruti Suzuki,Swift Dzire,4,diesel,74176,manual,FWD,sedan,9.7,9.3,8.5,7.5,8.1
26899790,Ambala,442000,2018,Maruti Suzuki,Swift,4,petrol,55356,manual,FWD,hatchback,9.7,9.4,8.7,7.8,7.7
25979744,Ambala,398000,2023,Renault,Kwid,3,petrol,4091,manual,FWD,hatchback,9.9,10,9.9,9.5,9.5
27251751,Bangalore,762000,2023,Maruti Suzuki,Baleno,4,petrol,29207,automatic,FWD,hatchback,9.9,9.8,9.6,9.7,8.9
25341504,Bangalore,3080358,2017,Mercedes-Benz,E-Class,4,diesel,44996,automatic,RWD,sedan,9.4,9.3,8.9,8.4,7.6
26715416,Bangalore,346000,2016,Ford,Figo Aspire,4,petrol,85654,manual,FWD,sedan,9.5,9.1,8.1,7.8,8.2
27087012,Bangalore,460000,2016,Hyundai,Grand i10,4,petrol,111842,automatic,FWD,hatchback,9.5,8.4,7.6,8.1,7.1
26245972,Bangalore,414000,2018,Maruti Suzuki,Celerio X,3,petrol,52220,automatic,FWD,hatchback,9.4,9.5,8.8,8.2,7.9
25953633,Bangalore,382000,2017,Mahindra,KUV100,3,petrol,52972,manual,FWD,crossover,9.4,8.5,8.5,8.4,8.2
26664309,Bangalore,881000,2021,Maruti Suzuki,Vitara Brezza,4,petrol,17156,manual,FWD,suv,9.9,9.9,9.1,9.5,9.2
25604215,Bangalore,401000,2014,Hyundai,Grand i10,4,petrol,90761,automatic,FWD,hatchback,9,9.2,8.3,7.3,8.5
27002160,Bangalore,408000,2012,Hyundai,Verna,4,petrol,55679,manual,FWD,sedan,9.8,9.6,8.2,8.2,8.6
26794082,Bangalore,569000,2019,Maruti Suzuki,Baleno,4,petrol,114302,manual,FWD,hatchback,9.4,9.2,8.4,7.9,8.1
26937383,Bangalore,412000,2017,Maruti Suzuki,Wagon R 1.0,3,petrol,77180,automatic,FWD,hatchback,9.7,9.4,9,8.7,8
26103772,Bangalore,3989358,2019,Mercedes-Benz,E-Class,4,petrol,17860,automatic,RWD,sedan,9.9,9.8,9.4,9.2,9
26914584,Bangalore,766000,2018,Ford,EcoSport,3,petrol,80072,automatic,FWD,suv,9.7,9.3,8.6,8.5,8.3
27067003,Bangalore,458000,2016,Hyundai,Grand i10,4,petrol,112554,automatic,FWD,hatchback,9.6,8.2,8.3,8.1,7.7
25445046,Bangalore,338000,2014,Hyundai,Grand i10,4,petrol,60311,manual,FWD,hatchback,9.6,9.6,8.8,7.9,8.1
26610441,Bangalore,396000,2016,Maruti Suzuki,Celerio,3,petrol,92097,automatic,FWD,hatchback,9.4,8.9,8.4,7.9,7.9
26783490,Bangalore,566000,2020,Hyundai,Grand i10,4,petrol,29061,manual,FWD,hatchback,9.7,9.6,8.9,8.6,8.8
27181813,Bangalore,1109893,2020,Kia,Sonet,4,diesel,49591,automatic,FWD,suv,9.7,8,8.2,8.6,8.3
27022873,Bangalore,542000,2020,Hyundai,Grand i10 Nios,4,petrol,47366,manual,FWD,hatchback,9.8,9.7,9.4,8.8,8.7
26946536,Bangalore,540000,2016,Hyundai,Elite i20,4,diesel,93649,manual,FWD,hatchback,9.6,9.4,8.8,7.8,8.7
26599707,Bangalore,285000,2016,Renault,Kwid,3,petrol,55111,manual,FWD,hatchback,9.6,9.4,8,7.7,8.3
26420564,Bangalore,509000,2017,Hyundai,Xcent,4,petrol,41818,manual,FWD,sedan,9.8,9.7,9.2,8.9,8.3
26282677,Bangalore,312000,2017,Renault,Kwid,3,petrol,70836,automatic,FWD,hatchback,9.6,9.5,9,8.4,8.3
26486692,Bangalore,1240183,2023,Maruti Suzuki,XL6,4,petrol,28018,automatic,FWD,muv,9.9,9.8,9.6,9.4,8.8
26889326,Bangalore,1155343,2022,Volkswagen,Taigun,3,petrol,92717,automatic,FWD,suv,9.5,8.3,8.7,8.4,8
23934207,Bangalore,3282358,2021,Mercedes-Benz,C-Class,4,petrol,47657,automatic,RWD,sedan,9.8,9.6,8.8,8.5,8.3
26970276,Bangalore,362000,2016,Maruti Suzuki,Celerio,3,petrol,124545,automatic,FWD,hatchback,9.3,8.6,8.3,7.8,7.9
26220217,Bangalore,1769423,2022,Hyundai,Alcazar,4,diesel,22201,automatic,FWD,suv,9.9,9.8,8.9,9.4,8.8
26351062,Bangalore,321000,2017,Renault,Kwid,3,petrol,51816,manual,FWD,hatchback,9.5,9.4,8.6,8.5,8
26638696,Bangalore,1335078,2022,Kia,Seltos,4,diesel,103555,manual,FWD,suv,9.6,8.4,8.7,8.6,8.5
25821815,Bangalore,386000,2017,Ford,Figo,4,petrol,121872,manual,FWD,hatchback,9.3,8.1,7.6,7.7,7.6
26523123,Bangalore,256000,2012,Maruti Suzuki,A-Star,3,petrol,109613,automatic,FWD,hatchback,8.7,6.9,7.7,7.6,6.7
26495512,Bangalore,314000,2016,Hyundai,Eon,3,petrol,75617,manual,FWD,hatchback,9.7,9.4,8.6,8,8.5
26955076,Bangalore,939000,2018,Hyundai,Verna,4,petrol,26484,automatic,FWD,sedan,9.9,9.7,9.5,8.7,8.6
26592557,Bangalore,319000,2017,Renault,Kwid,3,petrol,97286,automatic,FWD,hatchback,9.5,8.3,8.2,7.9,7.6
27139318,Bangalore,899000,2019,Mahindra,XUV 300,4,diesel,45918,automatic,FWD,suv,9.7,9.7,8.7,8.9,8.2
25639406,Bangalore,311000,2016,Mahindra,KUV100,3,petrol,91202,manual,FWD,crossover,9.5,9.3,8.6,8,8.8
25784460,Bangalore,301000,2018,Datsun,GO,3,petrol,40138,manual,FWD,hatchback,9.7,8.8,8.2,8.3,8.1
25276483,Bangalore,256000,2017,Datsun,GO,3,petrol,58781,manual,FWD,hatchback,9.2,9.4,7.3,7.7,7.7
26725616,Bangalore,271000,2018,Datsun,Redi-GO,3,petrol,67598,manual,FWD,hatchback,9.5,9.4,8.6,8.5,8
26887153,Bangalore,533000,2019,Hyundai,Grand i10,4,petrol,28296,manual,FWD,hatchback,9.8,9.8,9.4,8.7,8.4
26422790,Bangalore,236000,2013,Ford,Figo,4,petrol,96383,manual,FWD,hatchback,9.2,8.9,7.3,8,8.1
26957507,Bangalore,1027073,2022,Kia,Sonet,4,diesel,37294,manual,FWD,suv,9.7,9.1,9.1,9.1,8.3
27049934,Bangalore,452000,2016,Hyundai,Grand i10,4,petrol,32775,manual,FWD,hatchback,9.6,9.1,9.3,8.5,8.6
25034596,Bangalore,1286643,2023,Maruti Suzuki,XL6,4,petrol,40830,automatic,FWD,muv,9.8,8.2,9.5,9.1,8.3
26764741,Bangalore,434000,2016,Hyundai,Grand i10,4,petrol,123773,manual,FWD,hatchback,9.1,9,7.5,8.1,8.4
26967612,Bangalore,1244223,2022,Kia,Carens,4,petrol,86108,manual,FWD,muv,9.1,9.4,9,8.9,8.6
25786978,Bangalore,225000,2013,Maruti Suzuki,Alto 800,3,petrol,78402,manual,FWD,hatchback,9.4,9.4,8.1,7.9,7.8
25528861,Bangalore,3726758,2022,Audi,Q3,4,petrol,25545,automatic,,suv,9.9,8.9,9.4,9,8.5
26960537,Bangalore,747000,2023,Tata,Altroz,3,petrol,19551,manual,FWD,hatchback,9.9,9.9,9.7,9.3,9.3
26052794,Bangalore,307000,2016,Renault,Kwid,3,petrol,48882,manual,FWD,hatchback,9.8,9.7,8.9,8.5,8.6
26431374,Bangalore,366578,2014,Maruti Suzuki,Celerio,3,petrol,64921,automatic,FWD,hatchback,9.6,9.5,8.9,8.4,7.9
27016254,Bangalore,645000,2022,Renault,Kiger,3,petrol,22676,automatic,FWD,suv,9.9,9.8,9.7,9.4,8.6
26214362,Bangalore,371000,2015,Maruti Suzuki,Wagon R,3,petrol,18049,manual,FWD,hatchback,9.9,9.5,9.3,8.7,8.5
26731882,Bangalore,383000,2016,Maruti Suzuki,Wagon R,3,petrol,51647,manual,FWD,hatchback,9.7,9.4,7.7,8,8.3
26277322,Bangalore,242000,2012,Maruti Suzuki,Alto,3,petrol,31814,manual,FWD,hatchback,9.8,9.4,8.9,8.1,8.6
26995452,Bangalore,589000,2017,Hyundai,Verna,4,petrol,105556,manual,FWD,sedan,9.6,9.3,8.3,8.3,8.4
26982352,Bangalore,283000,2013,Hyundai,i10,4,petrol,82007,manual,FWD,hatchback,9.5,8.6,8.4,8.1,8.4
25787693,Bangalore,1394668,2021,Kia,Seltos,4,diesel,74563,automatic,FWD,suv,9.2,7.8,7.8,8.3,7.4
26396976,Bangalore,225000,2013,Maruti Suzuki,Alto 800,3,petrol,46863,manual,FWD,hatchback,9.8,9,8.9,8.3,8.5
25686713,Bangalore,382000,2016,Ford,Figo,4,petrol,84312,manual,FWD,hatchback,9.5,9.2,8.6,7.6,8.1
25801156,Bangalore,282000,2013,Maruti Suzuki,A-Star,3,petrol,47813,automatic,FWD,hatchback,9.6,8.9,8.5,7.7,7.9
26244329,Bangalore,805000,2016,Hyundai,Creta,4,petrol,81193,automatic,FWD,suv,9.6,9.5,8.3,8.4,8.5
26970922,Bangalore,662000,2022,Renault,Triber,3,petrol,17100,manual,FWD,muv,9.9,9.9,9.7,9.1,9.1
24321871,Bangalore,215000,2011,Maruti Suzuki,Wagon R,3,petrol,79831,manual,,hatchback,9.7,9.3,8.6,7.7,8.2
26849522,Bangalore,1190693,2021,MG Motors,Hector Plus,4,petrol,49347,manual,FWD,suv,9.8,9.7,9.3,8.8,8.5
22235638,Bangalore,2979358,2017,Mercedes-Benz,GLC,4,diesel,44481,automatic,AWD,wagon,9.8,9.7,9,8.8,8.2
27071826,Bangalore,376000,2015,Maruti Suzuki,Celerio,3,petrol,64247,automatic,FWD,hatchback,9.8,9.6,9,8.4,8.1
25709557,Bangalore,376000,2014,Hyundai,Xcent,4,petrol,80589,manual,FWD,sedan,9.6,9.4,8.3,8,8.4
26877258,Bangalore,395000,2014,Hyundai,Verna,4,petrol,92598,manual,FWD,sedan,9.3,9.3,7.5,7.6,8.6
26134016,Bangalore,1186000,2023,Maruti Suzuki,XL6,4,petrol,22388,manual,FWD,muv,9.9,9.7,9.6,8.9,9.2
27116554,Bangalore,1375523,2020,Kia,Seltos,4,diesel,48596,automatic,FWD,suv,9.8,9.5,9.1,9.1,8.2
25851964,Bangalore,559000,2018,Honda,Amaze,4,petrol,37542,automatic,FWD,sedan,9.8,9.7,9.3,8.5,8
26608387,Bangalore,464000,2023,Renault,Kwid,3,petrol,29139,manual,FWD,hatchback,9.9,9.8,9.3,9.2,8.9
26304771,Bangalore,349000,2014,Hyundai,i10,4,petrol,43089,manual,FWD,hatchback,9.4,9.5,8.9,7.4,8.1
26817600,Bangalore,274000,2014,Maruti Suzuki,Alto 800,3,petrol,46894,manual,FWD,hatchback,9.7,8.8,8.8,8,7.9
26883681,Bangalore,226000,2011,Hyundai,i10,4,petrol,43858,manual,,hatchback,9.2,9.4,9.1,7.1,7.1
