region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
agra,512000,2021,tata,tiago,good,3.0,petrol,20979,clean,manual,fwd,hatchback
agra,745000,2023,maruti suzuki,baleno,good,4.0,petrol,20176,clean,manual,fwd,hatchback
agra,465000,2019,hyundai,grand i10,fair,3.0,cng,41448,clean,manual,fwd,hatchback
agra,546000,2023,maruti suzuki,celerio,good,3.0,petrol,8527,clean,manual,fwd,hatchback
agra,428000,2021,hyundai,santro,salvage,4.0,cng,102049,clean,manual,fwd,hatchback
agra,762000,2022,hyundai,venue,fair,3.0,petrol,41980,clean,manual,fwd,suv
agra,562000,2020,hyundai,grand i10,fair,4.0,petrol,54966,clean,automatic,fwd,hatchback
agra,398000,2015,hyundai,i20,fair,4.0,petrol,43443,clean,manual,fwd,hatchback
agra,555000,2019,toyota,etios,salvage,4.0,diesel,95153,clean,manual,fwd,hatchback
agra,387000,2016,hyundai,i20,fair,4.0,petrol,62341,clean,manual,fwd,hatchback
agra,253000,2013,hyundai,grand i10,salvage,4.0,petrol,74307,clean,manual,fwd,hatchback
agra,386000,2014,honda,city,fair,4.0,petrol,57781,clean,manual,fwd,sedan
agra,626000,2022,maruti suzuki,baleno,salvage,4.0,petrol,92240,clean,automatic,fwd,hatchback
agra,299000,2018,maruti suzuki,alto k10,good,3.0,petrol,15391,clean,manual,fwd,hatchback
agra,946000,2024,hyundai,i20,good,4.0,petrol,7352,clean,automatic,fwd,hatchback
agra,582000,2016,maruti suzuki,brezza,salvage,4.0,diesel,77352,clean,manual,fwd,suv
agra,265000,2013,hyundai,i20,fair,4.0,petrol,69393,clean,manual,fwd,hatchback
agra,316000,2016,maruti suzuki,celerio,salvage,3.0,cng,97881,clean,manual,fwd,hatchback
agra,340000,2015,hyundai,xcent,fair,4.0,petrol,67923,clean,manual,fwd,sedan
agra,483000,2016,maruti suzuki,baleno,fair,4.0,petrol,38100,clean,manual,fwd,hatchback
agra,884000,2023,hyundai,i20,good,4.0,petrol,21606,clean,automatic,fwd,hatchback
agra,598000,2023,tata,punch,good,3.0,cng,24072,clean,manual,fwd,suv
ahmedabad,703194,2022,honda,amaze,fair,4.0,petrol,55654,clean,automatic,fwd,sedan
ahmedabad,419000,2017,hyundai,grand i10,salvage,4.0,petrol,72080,clean,manual,fwd,hatchback
ahmedabad,410448,2016,hyundai,grand i10,fair,4.0,petrol,38540,clean,manual,fwd,hatchback
ahmedabad,487910,2016,mahindra,tuv300,fair,3.0,diesel,53365,clean,manual,rwd,suv
ahmedabad,587504,2023,tata,punch,fair,3.0,petrol,43719,clean,manual,fwd,suv
ahmedabad,438616,2023,maruti suzuki,s-presso,fair,3.0,petrol,41675,clean,automatic,fwd,hatchback
ahmedabad,1106229,2019,mg motors,hector,fair,4.0,diesel,36775,clean,manual,fwd,suv
ahmedabad,254518,2014,maruti suzuki,wagon r,salvage,3.0,petrol,77405,clean,manual,fwd,hatchback
ahmedabad,548270,2016,ford,ecosport,salvage,4.0,diesel,84862,clean,manual,fwd,suv
ahmedabad,837000,2023,nissan,magnite,good,3.0,petrol,19264,clean,automatic,fwd,suv
ahmedabad,682068,2022,tata,punch,fair,3.0,petrol,30285,clean,automatic,fwd,suv
ahmedabad,835986,2023,hyundai,venue,good,4.0,petrol,18755,clean,manual,fwd,suv
ahmedabad,445658,2019,hyundai,grand i10,fair,4.0,petrol,67260,clean,manual,fwd,hatchback
ahmedabad,1078866,2023,volkswagen,virtus,fair,3.0,petrol,59269,clean,manual,fwd,sedan
ahmedabad,2123298,2018,audi,a6,fair,4.0,diesel,44896,clean,automatic,fwd,sedan
